wavelength (nm),irradiance (W/m^2/nm)
1221.72,0.4812841
1227.2,0.4770296
1232.69,0.472596
1238.19,0.4679747
1243.68,0.4633668
1249.18,0.4584498
1254.68,0.4531972
1260.19,0.4482365
1265.69,0.4435109
1271.2,0.4388585
1276.7,0.4346083
1282.21,0.430776
1287.72,0.4273882
1293.22,0.423924
1298.73,0.4204977
1304.24,0.4170537
1309.74,0.4134941
1315.24,0.4099299
1320.74,0.4064091
1326.24,0.402901
1331.74,0.3993998
1337.23,0.3959345
1342.72,0.39229
1348.21,0.3886697
1353.69,0.384949
1359.17,0.3814323
1364.64,0.3778842
1370.12,0.3745576
1375.58,0.371309
1381.04,0.3679725
1386.5,0.3646782
1391.95,0.3613542
1397.4,0.3577925
1402.84,0.3542435
1408.28,0.3506063
1413.71,0.3471901
1419.13,0.3438246
1424.55,0.3405128
1429.96,0.337381
1435.36,0.334411
1440.76,0.331626
1446.15,0.3290113
1451.54,0.3263321
1456.91,0.3235757
1462.28,0.3207353
1467.64,0.3178935
1473,0.3146076
1478.34,0.3115015
1483.68,0.3085159
1489.01,0.3057792
1494.33,0.3033204
1499.65,0.3011145
1504.95,0.2994266
1510.25,0.2978561
1515.54,0.2960681
1520.82,0.2942182
1526.09,0.2921761
1531.36,0.2896483
1536.61,0.286894
1541.86,0.2838534
1547.09,0.2803074
1552.32,0.2768537
1557.54,0.2730657
1562.75,0.2694543
1567.95,0.2661063
1573.14,0.26328
1578.32,0.2609198
1583.49,0.2587785
1588.65,0.2567668
1593.8,0.2551518
1598.95,0.2534721
1601.18,0.2526422
1616.86,0.248346
1632.42,0.2413937
1647.91,0.2351417
1663.31,0.2287241
1678.61,0.222823
1693.82,0.2164737
1708.93,0.2094473
1723.95,0.2026822
1738.86,0.1962972
1753.69,0.1918717
1768.43,0.186042
1783.07,0.1799181
1797.62,0.1737839
1812.08,0.168703
1826.44,0.1645115
1840.72,0.1608378
1854.9,0.1559882
1869,0.1513244
1883,0.1481133
1896.92,0.146088
1910.75,0.1419388
1924.48,0.1368005
1938.13,0.1345468
1951.71,0.131949
1965.19,0.1279588
1978.59,0.1257192
1991.92,0.1237816
2005.15,0.1203316
2018.31,0.1177935
2031.38,0.1161323
2044.38,0.1129081
2057.3,0.1096898
2070.13,NaN
2082.89,NaN
2095.58,NaN
2108.19,NaN
2120.73,0.09939006
2133.2,0.09710985
2145.59,0.09382388
2157.91,0.09165015
2170.15,0.09035886
2182.34,0.08942151
2194.44,0.08715286
2206.48,0.08528865
2218.45,0.08367798
2230.36,0.08172238
2242.2,0.08068017
2253.97,0.07947818
2265.68,0.07752489
2277.33,0.07600322
2288.91,0.07432742
2300.43,0.07353905
2311.89,0.07149092
2323.28,0.06978364
2334.63,0.06907235
2345.9,0.06926865
2357.11,0.06624573
2368.28,0.06470511
2379.37,0.06474058
2390.42,0.06351695
